full_name,contact_id
Mt Zion Baptist Church - Ivan Baird - 317-319-5136,0011N00001FFmQ6QAL
Lakeview Estates Ltd. -  - 216-439-3400,0011N00001FFmQ7QAL
"Morningside North Apartments I, LLC - Fred Oskin - 847-674-2246",0011N00001FFmQ8QAL
"BETTER HOUSING, INC. -  - 316-223-3150",0011N00001FFmQ9QAL
Vitus Development - Jerry Low - 206-832-1317,0011N00001FFmQAQA1
Vinewood Apartments Llc - Jose Prado - 650-924-0340,0011N00001FFmQBQA1
Poway Villas Community Housing Assoc Inc - Business - 760-432-6878,0011N00001FFmQCQA1
American Gold Star Manor - Terry Geiling - 949-716-4604,0011N00001FFmQDQA1
"Golden Plains II, Inc. -  - 620-275-0625",0011N00001FFmQEQA1
"ST. ANNA HDFC.,INC. -  - 845-471-9651",0011N00001FFmQFQA1
Cheyenne Housing Authority -  - 307-633-8317,0011N00001FFmQGQA1
Berrien Homes Ltd Div Housing Assoc LP - Berrien LP - 317-846-3111,0011N00001FFmQHQA1
Presbyterian senior care of western new york - Inc Kento - 716-874-6070,0011N00001FFmQIQA1
Housing Receivership Llc -  - 407-733-4018,0011N00001FFmQJQA1
Project Linkage H.D.F.C. Corporation - Judith Howe - 212-241-4655,0011N00001FFmQKQA1
Allied Argenta Affordable Housing Llc - Scott Baldridge - 310-394-9090,0011N00001FFmQLQA1
"EMP III, Inc. - ",0011N00001FFmQMQA1
COMMUNITY ALLIANCE HSG. CORP. IV -  - 402-341-5128,0011N00001FFmQNQA1
"Worthington Senior Housing, Inc. -  - 651-645-7271",0011N00001FFmQOQA1
"Woodbridge Investments, LLC - LLC Woodb - 314-771-5335",0011N00001FFmQPQA1
"Brook Court, Ltd. -  - 419-526-0466",0011N00001FFmQQQA1
The Clarett Group - Frank Clarett - 310-807-8405,0011N00001FFmQRQA1
"Prairie Farm Pioneer Housing, Inc. -  - 715-455-1431",0011N00001FFmQSQA1
Gatsby Housing Associates -  - 401-461-4272,0011N00001FFmQTQA1
Unison Behavioral Health Group -  - 419-936-7377,0011N00001FFmQUQA1
"Ohio Conference Ame Housing, Inc. -  - 614-214-1941",0011N00001FFmQVQA1
MIDCITY - LP W - 301-280-6612,0011N00001FFmQWQA1
Flagstaff Housing Corporation - Kurt Aldinger - 928-526-0002,0011N00001FFmQXQA1
Salem Acres -  - 614-818-4640,0011N00001FFmQYQA1
Alpha Building Foundation Inc. - Tom Fuller - 330-376-8787,0011N00001FFmQZQA1
Housing Authority County of Butler -  - 724-287-6797,0011N00001FFmQaQAL
Highroad Invesment Group Llc - Pam Bower,0011N00001FFmQbQAL
"Burnet Senior Housing Opportunities, Inc. -  - 512-763-1400",0011N00001FFmQcQAL
"Tricap Management, Inc. -  - 310-286-1068",0011N00001FFmQdQAL
"Boligee Housing, Limited -  - 205-759-5781",0011N00001FFmQeQAL
Kraus Enterprises Inc. - Stephen Kraus - 718-274-5000,0011N00001FFmQfQAL
Willow Creek Apartments Ltd -  - 912-868-6648,0011N00001FFmQgQAL
June Deferrante - Herman Deferrante - 714-282-1279,0011N00001FFmQhQAL
"Housing and Redevelopment Authority of Houston, MN -  - 507-896-2431",0011N00001FFmQiQAL
SONOMA MAPLE SCHUYLER LLC - SONOMA LLC - 617-445-0060,0011N00001FFmQjQAL
United Marketing Inc - Business - 425-562-1200,0011N00001FFmQkQAL
Concern for Independent Living Inc. -  - 631-758-0474,0011N00001FFmQlQAL
"Reliant Realty Services, Inc. -  - 646-374-0099",0011N00001FFmQmQAL
"Streetsboro Green, L.p. -  - 614-481-8106",0011N00001FFmQnQAL
CLAUSEN PROPERTY MANAGEMENT  dba Ringer Partners -  - 402-371-1720,0011N00001FFmQoQAL
MT View Village Of Humboldt County Inc - Gary Markegard - 707-725-6726,0011N00001FFmQpQAL
"DUBLIN PARK INVESTMENTS,A GENERAL PARTNERSHIP - Robert Ostlund",0011N00001FFmQqQAL
"Jan, Ltd. -  - 513-241-1911",0011N00001FFmQrQAL
Bell Diversified Companies - Tom Bell - 818-207-7660,0011N00001FFmQsQAL
"MB Management Services, Inc -  - 907-479-0265",0011N00001FFmQtQAL
"Ames Ecumenical Housing, Inc. -  - 515-232-2865",0011N00001FFmQuQAL
"WHPC - Eae, Llc -  - 608-663-6390",0011N00001FFmQvQAL
"Ashton Square Associates, L.p. -  - 415-433-2000",0011N00001FFmQwQAL
Hillside Longview LLC - Shirley Smith,0011N00001FFmQxQAL
Murfreesboro Housing Authority -  - 615-893-9414,0011N00001FFmQyQAL
First Pacific Financial - Bart Brehm - 714-846-3200,0011N00001FFmQzQAL
"Pine Manor Apartments, L.P. -  - 913-671-3300",0011N00001FFmR0QAL
Clarion Partners - Amy Xu - 213-236-3428,0011N00001FFmR1QAL
"Alma Rangel Gardens HDFC, Inc -  - 212-962-7653",0011N00001FFmR2QAL
Emerald Housing Inc. -  - 307-877-3806,0011N00001FFmR3QAL
"Hope Haven Mgmt. Corp.
attn:  Donald Ross -  - 319-753-6701",0011N00001FFmR4QAL
"HUMAN RESOURCE DEVELOPMENT AND EMPLOYMENT,INC -  - 304-296-8223",0011N00001FFmR5QAL
DETROIT BAPTIST MANOR -  - 248-626-6100,0011N00001FFmR6QAL
"Hsi Management, Inc. -  - 770-952-2233",0011N00001FFmR7QAL
Four Star Llc - William Kadrich - 414-322-2934,0011N00001FFmR8QAL
Permanent Planning II Of Governors Planning Area 7 -  - 319-232-6671,0011N00001FFmR9QAL
ST. Vincents Fruitland Apartments Limited -  - 208-664-3095,0011N00001FFmRAQA1
The Arc Of Jefferson County -  - 205-705-1801,0011N00001FFmRBQA1
"Elim Manor Homes, Lp -  - 614-545-4716",0011N00001FFmRCQA1
"Woodwinds Apartments, LLC -  - 619-435-7780",0011N00001FFmRDQA1
Virtu Investments - Stu Bone - 415-999-2088,0011N00001FFmREQA1
MARKSDALE GARDENS COOP. -  - 617-445-9885,0011N00001FFmRFQA1
Peru Housing Authority -  - 402-274-9612,0011N00001FFmRGQA1
MBP Housing Dev Fund Corporation - Mid-Bronx LP - 718-842-0256,0011N00001FFmRHQA1
"Berry Manor, Inc. -  - 205-387-0541",0011N00001FFmRIQA1
"EASTER SEALS UNITED CEREBRAL PALSY NC HOUSING, INC. - Luanne Welch - 919-865-8648",0011N00001FFmRJQA1
CW Capital - DAVID IANNARONE - 412-246-9219,0011N00001FFmRKQA1
"The Community Builders, Inc - Bart Mitchell - 617-695-9595",0011N00001FFmRLQA1
Yarco - LP F - 816-561-4240,0011N00001FFmRMQA1
HOUSING AUTHORITY OF ALBANY -  - 606-387-7708,0011N00001FFmRNQA1
"Network Housing 96, Inc. -  - 614-487-6700",0011N00001FFmROQA1
Southwood Apartments Llc -  - 972-272-8286,0011N00001FFmRPQA1
"RENTAL MGMT., INC. -  - 410-742-1631",0011N00001FFmRQQA1
BNAI BRITH COVENANT HOUSE OF PEORIA - Michael Stone - 309-673-2252,0011N00001FFmO4QAL
Metroplolitan Life Insurance Company - Cathy Sato - 213-576-1868,0011N00001FFmO5QAL
"Edgewater Group, LLC - Doug Gurkin - 512-264-1020",0011N00001FFmO6QAL
RCCC Villa -  - 712-837-5411,0011N00001FFmO7QAL
Housing Preservation Inc - James Carmichael - 415-572-4511,0011N00001FFmO8QAL
Fidelity National Title - Ginger Mccully - 949-230-4755,0011N00001FFmO9QAL
Buckelew Housing Inc - Business - 415-457-6964,0011N00001FFmOAQA1
"Villa Margarita Properties, Llc -  - 954-812-8869",0011N00001FFmOBQA1
"El Redentor Apartments,   Inc. -  - 314-993-9018",0011N00001FFmOCQA1
"HVM Gonzales County, Ltd. -  - 512-756-6809",0011N00001FFmODQA1
Living Opportunities Management Company - Business - 562-595-7567,0011N00001FFmOEQA1
Kiemle & Hagood Co - Lorraine Brooks - 509-755-7532,0011N00001FFmOFQA1
Fowler Christian Apartments II -  - 214-827-0813,0011N00001FFmOGQA1
Sherwood LLC -  - 718-261-5235,0011N00001FFmOHQA1
Trilar Management Group - Lance Mcgoldrick - 760-929-4940,0011N00001FFmOIQA1
"Maplewood Loop Apartments, Limited - Brian Bruce - 314-880-0900",0011N00001FFmOJQA1
FEDERAL HOUSING PARTNERS IV LTD -  - 520-761-4394,0011N00001FFmOKQA1
Champion Real Estate Company - Parker Champion - 310-312-8274,0011N00001FFmOLQA1
"Hermitage Oaks, Ltd. -  - 205-870-0358",0011N00001FFmOMQA1
Decron Properties Corp - Jack Shanfield - 310-556-6000,0011N00001FFmONQA1
Rtc - ,0011N00001FFmOOQA1
"Barron County Housing, Llc -  - 715-357-3334",0011N00001FFmOPQA1
"Hanway Project, Inc. -  - 800-442-2958",0011N00001FFmOQQA1
Network Restorations IIi Llc -  - 614-224-8446,0011N00001FFmORQA1
Luther Senior Center Inc - Gary Weibele - 509-672-8304,0011N00001FFmOSQA1
J & S Building LLC -  - 402-477-9246,0011N00001FFmOTQA1
"St. Lukes Preservation Partners, L.P. - LP L - 202-789-5300",0011N00001FFmOUQA1
"Quality Housing, LLC -  - 618-544-2254",0011N00001FFmOVQA1
Remax - Carrie Wang - 714-573-9100,0011N00001FFmOWQA1
Roosevelt House LLLP - Donna Haynes - 502-634-9830,0011N00001FFmOXQA1
Agape 2015 Portfolio Inc -  - 210-341-8097,0011N00001FFmOYQA1
Hearthstone Housing Foundation - Socorro Vasquez - 949-553-9447,0011N00001FFmOZQA1
Good Samaritan Society Inc -  - 605-362-3143,0011N00001FFmOaQAL
New Visions Inc. -  - 717-264-7350,0011N00001FFmObQAL
LT Associates LP - LT LP - 515-698-9700,0011N00001FFmOcQAL
American Housing Partners - Robert Zamora - 714-577-9644,0011N00001FFmOdQAL
"Northside Properties, Inc. -  - 813-977-8700",0011N00001FFmOeQAL
"Punxsutawney-Sycamore Realty Co., Inc -  - 814-938-9482",0011N00001FFmOfQAL
Seattle Housing Authority - Andrew Lofton - 206-615-3500,0011N00001FFmOgQAL
Hdsi-Housing Development Services Inc - Noel Sweitzer - 310-474-5455,0011N00001FFmOhQAL
BET Investments - LP Leis - 215-938-7300,0011N00001FFmOiQAL
"Eden Cross Apartments, Inc -  - 830-372-3870",0011N00001FFmOjQAL
National Service Co - Mary Dillard - 714-633-1811,0011N00001FFmOkQAL
"True Properties, LLC - Rita Perrett - 630-453-2735",0011N00001FFmOlQAL
"Ican Garden Apartments, Inc. -  - 330-455-9100",0011N00001FFmOmQAL
"GARNETT SENIOR HOUSING FOUNDATION, INC. - Joseph Glenn - 770-496-0598",0011N00001FFmOnQAL
TCG Capital Markets - Paul Evans - 206-826-5645,0011N00001FFmOoQAL
Washington Management Company -  - 206-382-2909,0011N00001FFmOpQAL
Gerson Bakar & Associates - Steve Lopresti - 415-391-1313,0011N00001FFmOqQAL
Community Development Commission Of N C - Brad Raulston - 619-336-4254,0011N00001FFmOrQAL
"CARR PROPERTY MANAGEMENT, INC. -  - 413-525-4321",0011N00001FFmOsQAL
Evanston Senior Redevelopment LLC - Evanston LLC - 312-542-4755,0011N00001FFmOtQAL
"Investors Management Service, Inc. -  - 865-522-5500",0011N00001FFmOuQAL
CIL Woods Inc. -  - 732-329-6027,0011N00001FFmOvQAL
"TreeTop Development, LLC - Azriel Mandel - 973-622-0073",0011N00001FFmOwQAL
St. Andrew Temple Church of God in Christ - St Christ - 708-596-9930,0011N00001FFmOxQAL
Metropolitan Realty Group LLC - Site Part - 207-772-8800,0011N00001FFmOyQAL
Hous - Roberto Rivera,0011N00001FFmOzQAL
NHHI/ASI Senior Bloomington Inc -  - 651-639-9799,0011N00001FFmP0QAL
DANNEBROG HOUSING AUTHORITY -  - 308-226-2498,0011N00001FFmP1QAL
"Housing Authority of the City of Gladewater, Texas -  - 903-845-2493",0011N00001FFmP2QAL
Grimmlay Mangement Company - Jeff Meger - 661-854-6270,0011N00001FFmP3QAL
Community Development Corporation Bentonville/Bell -  - 479-273-7344,0011N00001FFmP4QAL
Lifetime Housing Group -  - 812-432-6200,0011N00001FFmP5QAL
Hersch & Company - Mitch Hersch - 310-553-0900,0011N00001FFmP6QAL
Chesser Group - Michael Chesser - 805-604-2644,0011N00001FFmP7QAL
"Sunset Apartments Company, A Wi Ltd. Partnership -  - 414-273-1515",0011N00001FFmP8QAL
HOUSING PROMOTERS INC. -  - 787-760-3030,0011N00001FFmP9QAL
"Shoreline Plaza, Inc. -  - 208-345-4907",0011N00001FFmPAQA1
"Anna Louise Inn, Limited Partnership -  - 513-559-5834",0011N00001FFmPBQA1
"Kanesville Heights, Inc - Robert Neuman - 712-256-5608",0011N00001FFmPCQA1
Pin Oak Village Associates - Pin Associates - 412-647-7400,0011N00001FFmPDQA1
"Calvary Towers, LLC -  - 316-516-2853",0011N00001FFmPEQA1
Henderson County Health Care Corporation-Two -  - 270-826-4920,0011N00001FFmPFQA1
Washington Management Company - Business - 206-382-2909,0011N00001FFmPGQA1
"RELIANCE HEALTH, INC. -  - 860-887-6536",0011N00001FFmPHQA1
"UPPER SHORE AGING, INC -  - 410-778-6000",0011N00001FFmPIQA1
"Northampton Partners, Limited - Limited Northampt - 404-487-5331",0011N00001FFmPJQA1
GWR Homes Inc - Celina Hary - 626-441-5900,0011N00001FFmPKQA1
MG Properties - Paul Kaseburg - 858-366-6534,0011N00001FFmPLQA1
"NHHI/ASI Bloomington, Inc. -  - 651-639-9799",0011N00001FFmPMQA1
Park View Care Center -  - 763-682-1131,0011N00001FFmPNQA1
Kappa Management Company -  - 216-283-5840,0011N00001FFmPOQA1
Brostein Properties - Barry Rudossky - 718-261-5235,0011N00001FFmPPQA1
Sawyer County Housing Authority -  - 715-634-4280,0011N00001FFmPQQA1
Bridge Partners - Brad Harrington - 925-256-9448,0011N00001FFmPRQA1
"The Apartments of River Trace, Inc. - Carolyn Hil--Lomax - 515-288-4398",0011N00001FFmPSQA1
"The Rodney Scheel House Foundation, Inc. -  - 608-308-4215",0011N00001FFmPTQA1
JMKS Properties -  - 218-270-3372,0011N00001FFmPUQA1
Sawyer Street Associates - Philip Singleton - 978-532-4800,0011N00001FFmPVQA1
Laramie Senior Housing -  - 307-721-5915,0011N00001FFmPWQA1
"Veard-Ottawa, Ltd. -  - 440-245-2813",0011N00001FFmPXQA1
Jeffrey Mgmt Corp -  - 212-279-7600,0011N00001FFmPYQA1
River Run Apartments LLC - River LLC - 847-367-1111,0011N00001FFmPZQA1
Wilmington Housing Authority -  - 910-341-7700,0011N00001FFmPaQAL
Steele Properties Llc - Jeff Dean - 303-226-9120,0011N00001FFmPbQAL
"EMP III, Inc. -  - 323-231-4174",0011N00001FFmPcQAL
"MCCULLOUGH DEVELOPMENT, INC. -  - 785-776-3804",0011N00001FFmPdQAL
"Buckeye Community Nineteen, Lp -  - 614-942-2020",0011N00001FFmPeQAL
"CASCAP , INC. -  - 617-492-5559",0011N00001FFmPfQAL
"Magnolia Manor Of Macon Supportive Housing, Inc. -  - 229-924-9352",0011N00001FFmPgQAL
WYOMING COUNTY HOUSING AUTHORITY -  - 570-942-6155,0011N00001FFmUoQAL
LEVNER COMPANY -  - 561-748-9900,0011N00001FFmUpQAL
"EJF Real Estate Services, Inc. -  - 202-537-1801",0011N00001FFmUqQAL
"Tommy Donoho, T. Donoho Managment Co. -  - 501-520-0258",0011N00001FFmUrQAL
"HIGHLAND MANAGEMENT GROUP, INC. -  - 952-925-1020",0011N00001FFmUsQAL
Seton Washington Court House Inc. -  - 614-224-2251,0011N00001FFmUtQAL
Housing Authority Of The City Of Bremerton - Business - 360-479-3694,0011N00001FFmUuQAL
Low Rent Housing Agency Of Waverly Iowa -  - 319-352-3394,0011N00001FFmUvQAL
Turning Point Commons Inc - Business - 530-894-0390,0011N00001FFmUwQAL
"Grand Avenue Ecdc Housing, Inc. -  - 407-294-0123",0011N00001FFmUxQAL
Ying Y Chao - Ted Chao - 714-998-2422,0011N00001FFmUyQAL
Burnet Place Limited Partnership -  - 513-559-0048,0011N00001FFmUzQAL
Vistula Heritage Village II - DOUGLAS WILKINS - 419-242-2300,0011N00001FFmV0QAL
"Presbyterian Homes of WNY, Inc. -  - 716-631-0123",0011N00001FFmV1QAL
"The Orbach Group, LLC - LLC Light - 201-242-4800",0011N00001FFmV2QAL
Rainbow Ridge Inc. -  - 815-777-9525,0011N00001FFmV3QAL
LAKE CITY HOUSING AUTHORITY -  - 843-394-3541,0011N00001FFmV4QAL
Investment Property Group - Chris Walker - 949-756-3232,0011N00001FFmV5QAL
TRG Management Company Llp -  - 305-460-9900,0011N00001FFmV6QAL
Susan Robbins - Joseph Robbins - 714-838-2388,0011N00001FFmV7QAL
Atlantic & Pacific Management Corp - Business - 858-672-3100,0011N00001FFmV8QAL
"Benchmark Management of Tennessee, Inc. -  - 716-833-4986",0011N00001FFmV9QAL
ROG Preservation LLC - Greg Warren - 919-600-5369,0011N00001FFmVAQA1
"COUGHLIN MANAGEMENT COMPANY, INC -  - 908-431-0223",0011N00001FFmVBQA1
Housing Authority Of The County Of Santa Clara - Business - 408-275-8770,0011N00001FFmVCQA1
Rainbow Plaza LLC - Rainbow LLC - 718-972-5132,0011N00001FFmVDQA1
Gibb Springfield Village -  - 850-576-7145,0011N00001FFmVEQA1
Dartmouth Crossroads Limited Partnership - Dartmouth Partnership - 508-996-2970,0011N00001FFmVFQA1
"Trinity Place, Inc -  - 512-244-0366",0011N00001FFmVGQA1
Sleepy Hollow Realty Corporation - James Romeo - 914-961-3850,0011N00001FFmVHQA1
ORCHARD TERRACE NPEHC -  - 517-423-6649,0011N00001FFmVIQA1
Ico Development - Anthony Gaitan - 213-225-2225,0011N00001FFmVJQA1
LifeQuest -  - 605-996-2032,0011N00001FFmVKQA1
Laurel Hill Center -  - 541-485-6340,0011N00001FFmVLQA1
Windscape LDHA LP - Windscape LP - 248-203-0991,0011N00001FFmVMQA1
REG VI MH-MR CTR D/B/A Life Help -  - 601-453-6211,0011N00001FFmVNQA1
Hunters Woods Elderly Development - Charles Wortman - 703-620-4450,0011N00001FFmVOQA1
ST. Michaels Housing Inc. -  - 727-893-1314,0011N00001FFmVPQA1
Stvincent Depaul Society Of Lane County - Business - 541-687-5820,0011N00001FFmVQQA1
City of Muscatine -  - 563-264-1554,0011N00001FFmVRQA1
"MMH II, LLC - LLC I - 973-540-0230",0011N00001FFmVSQA1
Margaret Wagner Apartments -  - 216-373-1602,0011N00001FFmVTQA1
Area Housing Commission -  - 850-438-8561,0011N00001FFmVUQA1
MOSS HILL LIMITED PARTNERSHIP - MOSS PARTNERSHIP - 410-742-8134,0011N00001FFmVVQA1
Accord Property Management -  - 608-838-4000,0011N00001FFmVWQA1
Fullerton Interfaith Housing Development Corp - Owen Dean - 714-879-5375,0011N00001FFmVXQA1
Casper Housing Authority -  - 307-266-1388,0011N00001FFmVYQA1
The Salvation Army - The Army - 773-725-1100,0011N00001FFmVZQA1
Jacquelyn Gillum -  - 734-369-2203,0011N00001FFmVaQAL
Pinehurst Plaza a Ltd Part -  - 208-666-1502,0011N00001FFmVbQAL
Berkadia Real Estate Advisors - Bruce Furniss - 714-384-3266,0011N00001FFmVcQAL
WGS Management -  - 712-362-2345,0011N00001FFmVdQAL
BHC Management -  - 804-644-0546,0011N00001FFmVeQAL
United Cerebral Palsy Of Greater Atlanta -  - 404-329-9390,0011N00001FFmVfQAL
107-113 West 109th Street Holdings LLC -  - 201-242-4800,0011N00001FFmVgQAL
Brian And Vivien Mendenhall -  - 208-425-3958,0011N00001FFmVhQAL
Wisconsin Housing Preservation Corp. -  - 608-663-6390,0011N00001FFmViQAL
Wisdom Woods Apartments -  - 770-487-5331,0011N00001FFmVjQAL
Alexandria Redevelopment and Housing Authority -  - 703-549-7115,0011N00001FFmVkQAL
"Linden Park, Ltd. -  - 205-872-5514",0011N00001FFmVlQAL
Calvary Baptist Church - Revrend Hall - 516-623-0483,0011N00001FFmVmQAL
EAST 104TH ST HOUSING DEVELOPMENT - Gina Rusch - 603-769-3444,0011N00001FFmVnQAL
Monroe Group - CHC LLC - 303-226-9121,0011N00001FFmVoQAL
"Amy Lyn Kellogg, Llc -  - 801-531-9200",0011N00001FFmVpQAL
Ebenezer Realty Services Co - Mark Thomas - 612-874-3460,0011N00001FFmVqQAL
"Sartell Supportive Housing, Inc. -  - 651-645-7271",0011N00001FFmVrQAL
Monarch Management -  - 317-819-3003,0011N00001FFmVsQAL
Manteca Advocates For Independent Living - John Breaux - 916-354-1401,0011N00001FFmVtQAL
"Rudolfo R. Flores, Jr. -  - 830-278-4501",0011N00001FFmVuQAL
3700 Green Tree Corporation - Carman - 414-352-7120,0011N00001FFmVvQAL
Trinity-Sheridan Village Llc -  - 305-271-9250,0011N00001FFmVwQAL
Center for Developmental Disabilities -  - 516-921-7650,0011N00001FFmVxQAL
Trinity Apts Corp - Sarah Matala - 612-721-2252,0011N00001FFmVyQAL
"Asset Management, Inc. -  - 479-478-9900",0011N00001FFmVzQAL
"ST. George Commons, Limited Partnership -  - 614-451-1479",0011N00001FFmW0QAL
"Lifespring Centerplace II, Inc. -  - 812-206-1484",0011N00001FFmW1QAL
"Lockhart Management and Consulting, LLC -  - 269-350-2040",0011N00001FFmW2QAL
Emp IIi Inc - Business - 323-231-4174,0011N00001FFmW3QAL
"Bluff Park Apartments, Ltd. -  - 205-933-1020",0011N00001FFmW4QAL
Las Palomas Apartments Limited - Henry Cordova - 626-422-8685,0011N00001FFmW5QAL
Granger 180 Llc - Jean Germain - 858-922-4868,0011N00001FFmW6QAL
"WOODSTOCK SQUARE APARTMENTS, LTD. -  - 817-882-8482",0011N00001FFmW7QAL
Ortencia - Alfonso Roger - 760-836-0967,0011N00001FFmW8QAL
Mora HRA -  - 320-679-4789,0011N00001FFmW9QAL
"Towns Edge Place, LLC -  - 952-831-5756",0011N00001FFmWAQA1
Oak Hill Forty - Oak Delanah - 270-202-3403,0011N00001FFmWBQA1
"Mental Health Resource Center, Inc. -  - 904-743-1883",0011N00001FFmWCQA1
DP-DM Housing Partners -  - 619-231-0288,0011N00001FFmWDQA1
Cathco Properties d/b/a Swartz Properties -  - 217-877-8703,0011N00001FFmWEQA1
Eastgate Plaza Inc. - Joe Denson - 620-342-5380,0011N00001FFmWFQA1
"Abilities At English Park, Inc -  - 727-600-8922",0011N00001FFmWGQA1
"FRIDLEY APARTMENTS, LP -  - 407-949-3235",0011N00001FFmWHQA1
"Sherman Glen, Inc. -  - 937-746-0934",0011N00001FFmWIQA1
Resident Management Services -  - 312-456-1840,0011N00001FFmWJQA1
CHESTERFIELD DEPT. OF MENTAL HEALTH & RETARD. -  - 804-748-1227,0011N00001FFmWKQA1
"Hamilton Manor, Inc. -  - 205-387-0541",0011N00001FFmWLQA1
Housing Authority of the City of Batesville -  - 870-793-9104,0011N00001FFmWMQA1
Arco Management Corp. -  - 845-368-2400,0011N00001FFmWNQA1
BLACKSTONE HOUSING CORP. -  - 508-883-9802,0011N00001FFmWOQA1
MAPLE PARK HSG CORP - MAPLE CORP - 714-533-3450,0011N00001FFmWPQA1
"Immanuel Housing Association, Inc -  - 937-436-6890",0011N00001FFmWQQA1
APC MANAGEMENT -  - 605-352-8536,0011N00001FFmWRQA1
WNC Companies - Karen Buckland - 949-236-8135,0011N00001FFmWSQA1
MDI LIMITED PARTNERSHIP #43 -  - 701-662-4776,0011N00001FFmWTQA1
ST. ANTHONYS HOUSING FOR THE ELDERLY - ST ELDERLY - 302-421-3757,0011N00001FFmWUQA1
BENSON COUNTY HOUSING AUTHORITY -  - 701-473-5671,0011N00001FFmWVQA1
CSI Support & Development - BEVERLY OULETTE - 586-753-9002,0011N00001FFmWWQA1
SPEAR MANAGEMENT GROUP INC - William Spear - 508-832-4570,0011N00001FFmWXQA1
Cesar Chavez Foundation -  - 661-823-6250,0011N00001FFmWYQA1
Winn Companies - Church LP - 617-742-4500,0011N00001FFmWZQA1
Fidelity Bankcorp - ,0011N00001FFmWaQAL
Doug Cambell - Vicki Cambell - 714-960-2488,0011N00001FFmWbQAL
Joel A. Less Managed Properties Inc. -  - 413-447-3840,0011N00001FFmWcQAL
"Talladega Presbyterian Apartments, Inc. -  - 256-362-5218",0011N00001FFmWdQAL
Sheboygan Housing Authority -  - 920-459-3466,0011N00001FFmWeQAL
"Marien-Heim Tower, Inc. -  - 718-492-6833",0011N00001FFmWfQAL
"J. Hausner, R. Marcellino, A. Parisi -  - 800-978-3472",0011N00001FFmWgQAL
Pocahontas Housing Authority -  - 870-892-9278,0011N00001FFmWhQAL
"Chief Washakie Apartments, Limited Partnership -  - 307-672-9708",0011N00001FFmWiQAL
ARLINGTON PARK ASSOCIATES - ARLINGTON ASSOCIATES - 978-688-2870,0011N00001FFmWjQAL
Jefferson Co Housing Authority -  - 303-422-3229,0011N00001FFmWkQAL
Parcies Investments Inc - Business,0011N00001FFmWlQAL
H. O. C. of Montgomery Co. -  - 240-627-9590,0011N00001FFmWmQAL
Maximum Accessible Housing-Lake -  - 216-231-7221,0011N00001FFmWnQAL
Saturn LLC -  - 208-243-6438,0011N00001FFmWoQAL
First Evangelical Church Of Fullerton - Jim Clark - 714-529-5544,0011N00001FFmWpQAL
La Crosse County Housing Authority -  - 608-781-5365,0011N00001FFmWqQAL
Encore Development Llc - Arthur Arejian - 323-512-5600,0011N00001FFmWrQAL
"PLATTE MANOR APARTMENTS, INC. -  - 307-322-3234",0011N00001FFmWsQAL
Eastern Shore Community Services Board -  - 757-442-3636,0011N00001FFmWtQAL
Sandlewood Affordable Housing - Robert Coats - 205-529-8292,0011N00001FFmWuQAL
Bank Of East Asia - ,0011N00001FFmWvQAL
"Enterprise Community Partners, Inc - Doris Koo - 206-849-3530",0011N00001FFmWwQAL
"Apex, Inc. -  - 405-247-7377",0011N00001FFmWxQAL
"Homewood Terrace Mutual Homes, inc. -  - 253-839-9435",0011N00001FFmWyQAL
